claim_id,domain,proposed_claim,rejected_claim,exact_construct_observed,analytical_unit,source_datasets,relevant_cohort,study_design,methods_actually_used,key_evidence_result,robustness_evidence,missingness_coverage,uncertainty,main_bias_risks,ecological_temporal_limitation,support_category,confidence_in_category,permitted_wording,prohibited_wording,additional_data_needed,linked_table_figure,source_lineage,construct_evidence_link,construct_evidence_token,metadata_assignment_method,primary_claim_domain,analytical_evidence_role,claim_evidence_disposition,rejected_claim_evidence_disposition
D04,Claims requiring stronger evidence,The profiles reveal hidden administrative workload.,,Unrecorded administrative work,Not estimable from current practice-level aggregates,"OCS, GPAD, CBT and external context do not directly measure the required construct",No valid analytical cohort for this construct,Evidence-gap assessment,Evidence-gap assessment only,Hidden administrative work is not observed.,No sensitivity analysis can create an absent construct.,Structurally unavailable in the current public linked evidence.,Not estimable from the current data.,"Construct substitution, ecological inference and unmeasured confounding.",Current practice-level observation windows cannot support the claim.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The current data do not support the claim: The profiles reveal hidden administrative workload.,The profiles reveal hidden administrative workload.,"workflow logs, staff time and task-level administrative records",external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:administrative_workload,EXPLICIT_CLAIM_SPECIFIC,WORKLOAD,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
D05,Claims requiring stronger evidence,The data measure repeat contact.,,Repeated contacts for the same episode,Not estimable from current practice-level aggregates,"OCS, GPAD, CBT and external context do not directly measure the required construct",No valid analytical cohort for this construct,Evidence-gap assessment,Evidence-gap assessment only,Records are not linked into patient episodes.,No sensitivity analysis can create an absent construct.,Structurally unavailable in the current public linked evidence.,Not estimable from the current data.,"Construct substitution, ecological inference and unmeasured confounding.",Current practice-level observation windows cannot support the claim.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The current data do not support the claim: The data measure repeat contact.,The data measure repeat contact.,linked pseudonymised request/contact episodes,external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:repeat_contact,EXPLICIT_CLAIM_SPECIFIC,WORKLOAD,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
D06,Claims requiring stronger evidence,Requests were resolved.,,Request resolution,Not estimable from current practice-level aggregates,"OCS, GPAD, CBT and external context do not directly measure the required construct",No valid analytical cohort for this construct,Evidence-gap assessment,Evidence-gap assessment only,No request-resolution outcome is available.,No sensitivity analysis can create an absent construct.,Structurally unavailable in the current public linked evidence.,Not estimable from the current data.,"Construct substitution, ecological inference and unmeasured confounding.",Current practice-level observation windows cannot support the claim.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The current data do not support the claim: Requests were resolved.,Requests were resolved.,request-level outcome and closure status,external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:resolution,EXPLICIT_CLAIM_SPECIFIC,ACCESS,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
D07,Claims requiring stronger evidence,The data measure timeliness from first request to resolution.,,Elapsed time from first request to resolution,Not estimable from current practice-level aggregates,"OCS, GPAD, CBT and external context do not directly measure the required construct",No valid analytical cohort for this construct,Evidence-gap assessment,Evidence-gap assessment only,The required start and resolution timestamps are absent.,No sensitivity analysis can create an absent construct.,Structurally unavailable in the current public linked evidence.,Not estimable from the current data.,"Construct substitution, ecological inference and unmeasured confounding.",Current practice-level observation windows cannot support the claim.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The current data do not support the claim: The data measure timeliness from first request to resolution.,The data measure timeliness from first request to resolution.,time-stamped linked request-to-resolution journeys,external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:timeliness,EXPLICIT_CLAIM_SPECIFIC,ACCESS,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
D08,Claims requiring stronger evidence,The profiles identify safer access.,,Safety outcomes attributable to access,Not estimable from current practice-level aggregates,"OCS, GPAD, CBT and external context do not directly measure the required construct",No valid analytical cohort for this construct,Evidence-gap assessment,Evidence-gap assessment only,No safety outcome is present.,No sensitivity analysis can create an absent construct.,Structurally unavailable in the current public linked evidence.,Not estimable from the current data.,"Construct substitution, ecological inference and unmeasured confounding.",Current practice-level observation windows cannot support the claim.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The current data do not support the claim: The profiles identify safer access.,The profiles identify safer access.,"linked safety incidents, clinical outcomes and risk adjustment",external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:safety,EXPLICIT_CLAIM_SPECIFIC,SAFETY,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
D09,Claims requiring stronger evidence,The profiles identify clinical quality.,,Clinical quality,Not estimable from current practice-level aggregates,"OCS, GPAD, CBT and external context do not directly measure the required construct",No valid analytical cohort for this construct,Evidence-gap assessment,Evidence-gap assessment only,Recorded activity is not a clinical-quality measure.,No sensitivity analysis can create an absent construct.,Structurally unavailable in the current public linked evidence.,Not estimable from the current data.,"Construct substitution, ecological inference and unmeasured confounding.",Current practice-level observation windows cannot support the claim.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The current data do not support the claim: The profiles identify clinical quality.,The profiles identify clinical quality.,validated clinical-quality outcomes and risk adjustment,external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:clinical_quality,EXPLICIT_CLAIM_SPECIFIC,SAFETY,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
D10,Claims requiring stronger evidence,The analysis demonstrates individual-level equity.,,Individual-level differential access and outcomes,Not estimable from current practice-level aggregates,"OCS, GPAD, CBT and external context do not directly measure the required construct",No valid analytical cohort for this construct,Evidence-gap assessment,Evidence-gap assessment only,Practice aggregates cannot establish individual equity.,No sensitivity analysis can create an absent construct.,Structurally unavailable in the current public linked evidence.,Not estimable from the current data.,"Construct substitution, ecological inference and unmeasured confounding.",Current practice-level observation windows cannot support the claim.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The current data do not support the claim: The analysis demonstrates individual-level equity.,The analysis demonstrates individual-level equity.,"individual-level protected characteristics, need, access and outcomes",external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:individual_equity,EXPLICIT_CLAIM_SPECIFIC,EQUITY,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
D11,Claims requiring stronger evidence,Digital access causally changes outcomes.,,Causal effect of digital access,Not estimable from current practice-level aggregates,"OCS, GPAD, CBT and external context do not directly measure the required construct",No valid analytical cohort for this construct,Evidence-gap assessment,Evidence-gap assessment only,"The study is observational, aggregate and cross-sectional.",No sensitivity analysis can create an absent construct.,Structurally unavailable in the current public linked evidence.,Not estimable from the current data.,"Construct substitution, ecological inference and unmeasured confounding.",Current practice-level observation windows cannot support the claim.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The current data do not support the claim: Digital access causally changes outcomes.,Digital access causally changes outcomes.,a credible causal design with exposure timing and counterfactual,external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:causal_effect,EXPLICIT_CLAIM_SPECIFIC,ACCESS,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
D12,Claims requiring stronger evidence,Supplier products cause profile differences.,,Causal supplier-product effect,Not estimable from current practice-level aggregates,"OCS, GPAD, CBT and external context do not directly measure the required construct",No valid analytical cohort for this construct,Evidence-gap assessment,Evidence-gap assessment only,Supplier association is confounded by selection and implementation.,No sensitivity analysis can create an absent construct.,Structurally unavailable in the current public linked evidence.,Not estimable from the current data.,"Construct substitution, ecological inference and unmeasured confounding.",Current practice-level observation windows cannot support the claim.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The current data do not support the claim: Supplier products cause profile differences.,Supplier products cause profile differences.,"product-level exposure, implementation timing and causal comparison",external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:supplier_effect,EXPLICIT_CLAIM_SPECIFIC,ACCESS,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
D13,Claims requiring stronger evidence,The profiles demonstrate economic value or cost-effectiveness.,,"Costs, consequences and incremental value",Not estimable from current practice-level aggregates,"OCS, GPAD, CBT and external context do not directly measure the required construct",No valid analytical cohort for this construct,Evidence-gap assessment,Evidence-gap assessment only,No cost or outcome valuation is present.,No sensitivity analysis can create an absent construct.,Structurally unavailable in the current public linked evidence.,Not estimable from the current data.,"Construct substitution, ecological inference and unmeasured confounding.",Current practice-level observation windows cannot support the claim.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The current data do not support the claim: The profiles demonstrate economic value or cost-effectiveness.,The profiles demonstrate economic value or cost-effectiveness.,"resource use, costs, outcomes and an economic comparator",external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:economic_value,EXPLICIT_CLAIM_SPECIFIC,VALUE,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
E01,Canonical project improvement claims,Digital access improves access.,,Causal improvement in access,Not estimable from current aggregate design,"OCS, GPAD, CBT, GPPS and contextual sources",No valid analytical cohort for this construct,Evidence-boundary assessment of an observational aggregate study,Evidence-boundary assessment only,GPAD/OCS activity and GPPS associations do not establish improvement.,Observed descriptive and associative results were reviewed; none supplies a counterfactual.,Aggregate source coverage does not recover individual journeys or causal exposure.,Not estimable as a causal improvement effect.,"Ecological fallacy, confounding, selection and temporal mismatch.",Practice-level association cannot establish individual or causal improvement.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The study does not establish that digital access improves access.,Digital access improves access.,"request-level access outcomes, exposure timing and a credible comparator",external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:access_improvement,EXPLICIT_CLAIM_SPECIFIC,ACCESS,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
E02,Canonical project improvement claims,Digital access improves patient experience.,,Causal improvement in patient experience,Not estimable from current aggregate design,"OCS, GPAD, CBT, GPPS and contextual sources",No valid analytical cohort for this construct,Evidence-boundary assessment of an observational aggregate study,Evidence-boundary assessment only,"GPPS supports practice-level association, not causal patient-experience improvement.",Observed descriptive and associative results were reviewed; none supplies a counterfactual.,Aggregate source coverage does not recover individual journeys or causal exposure.,Not estimable as a causal improvement effect.,"Ecological fallacy, confounding, selection and temporal mismatch.",Practice-level association cannot establish individual or causal improvement.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The study does not establish that digital access improves patient experience.,Digital access improves patient experience.,longitudinal patient-level experience linked to exposure and a causal comparator,external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:experience_improvement,EXPLICIT_CLAIM_SPECIFIC,PATIENT_EXPERIENCE,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
E03,Canonical project improvement claims,Digital access improves equity.,,Causal improvement in individual-level equity,Not estimable from current aggregate design,"OCS, GPAD, CBT, GPPS and contextual sources",No valid analytical cohort for this construct,Evidence-boundary assessment of an observational aggregate study,Evidence-boundary assessment only,"Deprivation, rurality and age provide ecological context, not individual-level equity improvement.",Observed descriptive and associative results were reviewed; none supplies a counterfactual.,Aggregate source coverage does not recover individual journeys or causal exposure.,Not estimable as a causal improvement effect.,"Ecological fallacy, confounding, selection and temporal mismatch.",Practice-level association cannot establish individual or causal improvement.,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,HIGH,The study does not establish that digital access improves equity.,Digital access improves equity.,"individual-level need, protected characteristics, access journeys, outcomes and a causal design",external_interpretation/08_evidence_readiness/writing_authority/unsupported_claim_construct_absence_audit.csv; external_interpretation/08_evidence_readiness/writing_authority/additional_data_requirements_writing_authority.csv,The approved cross-source registry was audited for the required construct or design element; no approved analytical field matched. The additional-data register is downstream guidance only.,external_interpretation/03_source_audits/cross_source_contract_decision_implementation/approved_cross_source_measure_registry.csv,APPROVED_REGISTRY_AUDIT_NO_MATCH:equity_improvement,EXPLICIT_CLAIM_SPECIFIC,EQUITY,EVIDENCE_GAP,NOT_ESTIMABLE_WITH_CURRENT_PUBLIC_DATA,NOT_APPLICABLE
